avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240711 06:37:00,23820,2.92533,106.979,2.375,3.68317,201.861,267.223,80.1812,188.139
20240711 06:38:00,23880,2.51133,109.856,1.91467,2.97017,202.661,270.431,78.1992,194.882
20240711 06:39:00,23940,,112.369,,4.28467,201.064,265.372,76.4133,327.985
20240711 06:40:00,24000,,114.945,,2.61967,201.107,263.49,79.1204,139.477
20240711 06:41:00,24060,2.2265,113.862,1.395,2.1625,200.326,265.132,74.7709,162.044
20240711 06:42:00,24120,2.251,107.727,1.23067,1.90883,200.951,264.756,74.9964,133.789
20240711 06:43:00,24180,,105.204,,3.67817,201.728,265.391,81.2691,235.344
20240711 06:44:00,24240,,99.5837,,2.89683,202.097,267.408,80.5255,168.3
20240711 06:45:00,24300,,89.156,,2.2095,215.825,318.335,78.14,162.601
20240711 06:46:00,24360,,,,2.76717,215.303,320.854,76.3085,211.621
